
HNT|    Class Specialty|             1|   Create:Field Bandage   12 pts|           Roll:4hr, AoE:1d3, Kit & Campfire needed,
HNT|    Battle Actions/Prep|         1|   Ranged Wpn Expertise   4 pts|            Roll:1min, Dur:24hr or Battle, Stk:1.

HNT|    Traveling (PMP)|             1|   No Road Needed         4 pts|            Roll:10min, Dur:8hr, AoE:Traversable land,
HNT|    Creations|                   1|   Create/Repair Arrows   6 pts|            Roll:4hr, 24 arrows created based on Tier.
HNT|    Creations|                   1|   Create Signers Salve   12 pts|           Roll:4hrs, 1d3 Salves, DOT healing.

HNT|    Natural Environment|         1|   Find North             4 pts|            Dur:1hr, Hunter reviews area and knows which direction is north.|
HNT|    Class Specialty|             1|   Skinning A Hide        4 pts|            Roll:12hr, Kit & Campfire needed,
HNT|    Fences and Shelters|         2|   Create LeanTo Shelter  3 pts|            Roll:1min, Dur:12hrs, AoE:1x2sqs. Stk:3

HNT|    Fences and Shelters|         2|   Perimeter Safety       4 pts|            Roll:30min, Dur:8hrs, AoE:5x5sq,
HNT|    Class Specialty|             2|   Make Fire with Sticks  4 pts|            Roll:10min,  Dry kindling needed,
HNT|    Natural Environment|         2|   Benigh Approach        4 pts|            Roll:5min, Dur:1hr, Rng:10sq. Hunter calms and move 'closer' than normal.|

HNT|    Creations|                   2|   Create Sunrise Potion  12 pts|           Roll:4hrs, 1d3 Ptns, @sunrise aids HP gain
HNT|    Natural Environment|         3|   Hunt, Fish, Gather     4 pts|            Roll:9hr, Self, AoE:20x20sq, Stk:1, 1/day.
HNT|    Class Specialty|             3|   Mental Alarm Clock     4 pts|            Roll:10min, Dur:24hrs, Self, 1rd to clear head.  Wake w/in duration on time.|

HNT|    Natural Environment|         3|   Calm Animal            4 pts|            Roll:20min, Dur:2hr, Rng:2sq, Stk:3.
HNT|    Communication|               3|   Hunters Marks          4 pts|            Roll:1min, Dur:1month, AoE:1sq,
HNT|    Battle Offense|              4|   Hunters Charge         4 pts|            EXTRA: Attacks:1, AC:-4, ToHIT & Dmg +8. Move:x2 (Min 4sq, No pivot).|

HNT|    Communication|               4|   Mimic Soft Nat Sounds  4 pts|            Dur:20min, AoE:6x6 area, Rng:Self,
HNT|    Battle Offense|              4|   Accurate Ranged Shots  4 pts|            Range:Weapon, Applies to all ranged wpns,
HNT|    Creations|                   4|   Create Revive Salve    12 pts|           Roll:4hr, 1d3 Salves, +HP & wake up,

HNT|    Battle Offense|              5|   Penetrating Shots      8 pts|            Dur:2rds, Range/AoE by weapon,
HNT|    Battle Reaction|             5|   Disrupt Concentration  8 pts|            EXTRA: Dur:2rds, Rng:8sqs, AoE:1 Trgt,
HNT|    Battle Actions/Prep|         5|   Point Position         8 pts|            Roll:10min, Dur:24hrs.  HNT= 16sqs ahead.

HNT|    Battle Offense|              5|   Xbow:Long Dist Shots   8 pts|            Dur:4rds, AoE:1 Trgt, Stk:1, Requires crossbow, Distance gains +16 sqs.|
HNT|    Fences and Shelters|         6|   Hunters Hut (10 ppl)   10 pts|           Roll:20min, Dur:2days, AoE:2x3sqs, Stk:3,
HNT|    Battle Reaction|             6|   AoO on Melee Entry     4 pts|            EXTRA: Melee weapon range/response.  Targets attackers entering the fray.|

HNT|    Battle Offense|              6|   Shoot Through Party    8 pts|            Through up to 3 ranks.  Init+2 per Tier.|
